assetnum,wonum,description,problemcode,problemcode_description,matched_component,match_score
215150CG,96827,FIBI - AIR HANLDER SEEMS EXCESSIVELY NOISY.  PLEASE SCAN AHU 2-3-3.,AH-P001,Airflow Obstruction,"['Filter, Control Air Supply: Clogged', 'Filter, Control Air Supply: Broken', 'Filters, Media Type: Clogged']","[0.4589855372905731, 0.37524399161338806, 0.3435888886451721]"
215150CH,96824,FIBI - AIR HANLDER SEEMS EXCESSIVELY NOISY.  PLEASE SCAN AHU 2-3-2.,AH-P001,Airflow Obstruction,"['Filter, Control Air Supply: Clogged', 'Filter, Control Air Supply: Broken', 'Condenser Coil: Air side fouling']","[0.4568450450897217, 0.3740607798099518, 0.34327641129493713]"
215151OP,112409,FIBI - Replace intake filters 1st floor,AH-P001,Airflow Obstruction,"['Filter, Control Air Supply: Clogged', 'Filter, Control Air Supply: Broken', 'Filters, Media Type: Clogged']","[0.47902363538742065, 0.42801329493522644, 0.3784012496471405]"
215151OQ,112410,FIBI - Replace intake filters 1st floor,AH-P001,Airflow Obstruction,"['Filter, Control Air Supply: Clogged', 'Filter, Control Air Supply: Broken', 'Filters, Media Type: Clogged']","[0.47902363538742065, 0.42801329493522644, 0.3784012496471405]"
215151OQ,70068,FIBI - O/A filters 001. Change outside filters.,AH-P001,Airflow Obstruction,"['Filter, Control Air Supply: Clogged', 'Filter, Control Air Supply: Broken', 'Condenser Coil: Air side fouling']","[0.501445472240448, 0.4537651836872101, 0.42174142599105835]"
215153CE,93006,"B002-1 A28, Troubleshoot HW Pump 1 & 2, Contact Blaine",AH-P006,Electric failure,"['Actuator, ElectroHydraulic: Failed: motor, or relief valve, or seal', 'Agastat Type Timer Switches: Coil failure', 'Pressure Regulators: Diaphragm failure']","[0.39445731043815613, 0.3332115113735199, 0.3195091187953949]"
215153CE,18932,"002-1 AC 2-1-1 - Change filters, lube, check unit",AH-P001,Airflow Obstruction,"['Filter, Control Air Supply: Clogged', 'Filter, Control Air Supply: Broken', 'Condenser Coil: Air side fouling']","[0.4981642961502075, 0.46071431040763855, 0.4396458566188812]"
215153CE,109576,FIBI - Change filters,AH-P001,Airflow Obstruction,"['Filter, Control Air Supply: Clogged', 'Condenser Coil: Air side fouling', 'Filter, Control Air Supply: Broken']","[0.49680835008621216, 0.43078702688217163, 0.42071977257728577]"
215153HA,78627,FIBI - Steam shut-off valve is leaking,AH-P002,Dirty evaporator coils,"['Steam Heating Coils: Air side fouling', 'Condenser Coil: Air side fouling', 'Steam Heating Coils: Erosion / Corrosion']","[0.5384868383407593, 0.472500205039978, 0.4576703906059265]"
215153QA,158019,FIBI - Belt squeaking,AH-P010,Fan belt Damaged,"['Fan Bearings: Wear', 'Fan, Vane Axial: Loose blade nuts', 'Fan, Vane Axial: Cracked hub']","[0.46921005845069885, 0.4620995819568634, 0.44773954153060913]"
215153QD,98572,FIBI - Change belts,AH-P001,Fan belt Damaged,"['Condenser Coil: Air side fouling', 'Filter, Control Air Supply: Broken', 'Liquid Coil, Cooling & Heating: Air side fouling']","[0.4622640609741211, 0.461060494184494, 0.4571654498577118]"
315150BA,140019,Freezestat test,AH-P005,Freezing unit,"['Filter, Control Air Supply: Broken', 'Actuator, Refrigerant: Failed piston seal', 'Filter, Control Air Supply: Clogged']","[0.42979514598846436, 0.3494119346141815, 0.3382166624069214]"
315150BA,12758,AIR HANDLER UNIT 3-1-1   (OA),AH-P001,Airflow Obstruction,"['Filter, Control Air Supply: Clogged', 'Condenser Coil: Air side fouling', 'Filter, Control Air Supply: Broken']","[0.5541046261787415, 0.4988311529159546, 0.43887776136398315]"
315150BA,25085,"Change filters, check operation.",AH-P001,Airflow Obstruction,"['Filter, Control Air Supply: Clogged', 'Condenser Coil: Air side fouling', 'Condensate Traps: Clogged']","[0.5140219330787659, 0.49720609188079834, 0.42139288783073425]"
315150BB,12760,AIR HANDLER UNIT 3-1-2   (OA),AH-P001,Airflow Obstruction,"['Filter, Control Air Supply: Clogged', 'Condenser Coil: Air side fouling', 'Liquid Coil, Cooling & Heating: Air side fouling']","[0.5588217973709106, 0.5047906637191772, 0.44122257828712463]"
315150BB,140020,Freezestat test,AH-P005,Freezing unit,"['Filter, Control Air Supply: Broken', 'Actuator, Refrigerant: Failed piston seal', 'Filter, Control Air Supply: Clogged']","[0.42979514598846436, 0.3494119346141815, 0.3382166624069214]"
315150BB,144270,"Change filters, vacuum AHU, and clean coils due to construction in adjacent WT area",AH-P001,Airflow Obstruction,"['Filter, Control Air Supply: Clogged', 'Condenser Coil: Air side fouling', 'Steam Heating Coils: Air side fouling']","[0.5112264752388, 0.5034961104393005, 0.4386003911495209]"
315150BK,12813,AIR HANDLING UNIT 3-1-8   (OA),AH-P001,Airflow Obstruction,"['Filter, Control Air Supply: Clogged', 'Condenser Coil: Air side fouling', 'Liquid Coil, Cooling & Heating: Air side fouling']","[0.5621491074562073, 0.5109514594078064, 0.4588465392589569]"
315153HO,12781,AIR HANDLER UNIT 3-1-4    (OA),AH-P001,Airflow Obstruction,"['Filter, Control Air Supply: Clogged', 'Condenser Coil: Air side fouling', 'Liquid Coil, Cooling & Heating: Air side fouling']","[0.5599774122238159, 0.5048619508743286, 0.4411602020263672]"
CU02007,49177,Clean tubes,CF-P002,No pumping/insufficient fluid flow,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Refrigerant Operated Control Valve: Leaking bellows or capillary']","[0.46729665994644165, 0.4480772912502289, 0.4119914472103119]"
CU02007,56098,Refrigerant Alarm,CF-P003,No cooling/insufficient cooling,"['Refrigerant Metering Device: Failed float valve', 'Refrigerant Metering Device: Plugged', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure']","[0.5061827301979065, 0.4668278098106384, 0.4626671075820923]"
CU02007,58077,#7 refrigerant alarm,CF-P007,Low evaporator pressure,"['Refrigerant Metering Device: Failed float valve', 'Refrigerant Operated Control Valve: Failed spring', 'Refrigerant Operated Control Valve: Leaking bellows or capillary']","[0.4643842577934265, 0.42974045872688293, 0.415774941444397]"
CU02007,39143,F1B1-Cleaned condenser on #7 chiller.,CF-P009,No pumping/insufficient fluid flow,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure']","[0.5817158818244934, 0.565839946269989, 0.5633025765419006]"
CU02007,41196,Plugged condensers.,CF-P002,No pumping/insufficient fluid flow,"['Heat Exchangers: Condenser: Improper water side flow rate', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure']","[0.5073130130767822, 0.46855318546295166, 0.4673742353916168]"
CU02007,40552,F1B1-Cleaned tubes #7 chiller.,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure']","[0.599599301815033, 0.5993316173553467, 0.5728051662445068]"
CU02007,101154,Replace oil cooler and oil temp. vavle,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure']","[0.5362752676010132, 0.4948498010635376, 0.4920877516269684]"
CU02007,133549,Transfer refrigerant.,CF-P003,No cooling/insufficient cooling,"['Heat Exchangers: Condenser: Improper water side flow rate', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Heat Exchangers: Evaporator: Water side freezing']","[0.4542500078678131, 0.44842830300331116, 0.4429489076137543]"
